Cage,Treatment,Day1Initial,Day1Final,Day1Change,Day2Initial,Day2Final,Day2Change,Day3Initial,Day3Final,Day3Change,Day4Initial,Day4Final,Day4Change,Obs1M1,Obs1M2,Obs1M3,Obs1A1,Obs1A2,Obs1A3,Obs2M1,Obs2M2,Obs2M3,Obs2A1,Obs2A2,Obs2A3,Obs3M1,Obs3M2,Obs3M3,Obs3A1,Obs3A2,Obs3A3,Obs4M1,Obs4M2,Obs4M3,Obs4A1,Obs4A2,Obs4A3
9,M,1.7126,1.6782,-0.020086418,1.7546,1.7484,-0.003533569,1.7038,1.6689,-0.020483625,1.7747,1.7255,-0.027722995,9,0,0,0,0,0,0,0,9,0,0,0,9,0,0,0,0,0,9,0,0,0,0,0
9,P,1.7239,1.6302,-0.054353501,1.7656,1.6675,-0.055561849,1.745,1.6396,-0.060401146,1.6876,1.5696,-0.069921782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,A,1.7219,1.7033,-0.010802021,1.7179,1.7068,-0.006461377,1.7394,1.7293,-0.0058066,1.6978,1.6883,-0.005595476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,U,1.7331,1.7219,-0.006462408,1.706,1.6837,-0.013071512,1.7222,1.7196,-0.001509697,1.7628,1.7513,-0.006523712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,M,1.7176,1.6449,-0.042326502,1.7274,1.7231,-0.00248929,1.7502,1.7266,-0.013484173,1.7372,1.7002,-0.021298641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,P,1.7503,1.6466,-0.059246986,1.7336,1.598,-0.078218736,1.7258,1.5804,-0.084250782,1.7528,1.5657,-0.106743496,0,0,0,0,0,0,9,6,0,0,0,0,138,0,0,51,300,0,80,215,300,300,0,0
11,EA,1.7426,1.748,0.003098818,1.7068,1.7034,-0.001992032,1.7473,1.7386,-0.004979111,1.7692,1.7663,-0.001639159,,,,,,,,,,,,,,,,,,,,,,,,
11,EU,1.721,1.7154,-0.003253922,1.7156,1.6868,-0.01678713,1.6847,1.6816,-0.00184009,1.7515,1.7446,-0.00393948,,,,,,,,,,,,,,,,,,,,,,,,
11,EM,1.764,1.7336,-0.01723356,1.763,1.7615,-0.000850822,1.7078,1.6909,-0.009895772,1.7362,1.6905,-0.026321852,,,,,,,,,,,,,,,,,,,,,,,,
11,EP,1.698,1.5958,-0.060188457,1.7135,1.6101,-0.060344324,1.6768,1.5753,-0.060531966,1.7548,1.5865,-0.095908366,,,,,,,,,,,,,,,,,,,,,,,,
12,EA,1.7315,1.7282,-0.001905862,1.7318,1.7261,-0.003291373,1.7249,1.7185,-0.00371036,1.7132,1.7128,-0.000233481,,,,,,,,,,,,,,,,,,,,,,,,
12,EU,1.7021,1.6989,-0.001880031,1.7801,1.7502,-0.016796809,1.6763,1.6719,-0.002624828,1.6981,1.6957,-0.001413344,,,,,,,,,,,,,,,,,,,,,,,,
12,EM,1.7694,1.7475,-0.012377077,1.7279,1.726,-0.001099601,1.7384,1.7197,-0.010757018,1.7669,1.7211,-0.025921105,,,,,,,,,,,,,,,,,,,,,,,,
12,EP,1.765,1.6683,-0.054787535,1.685,1.5841,-0.059881306,1.701,1.5879,-0.0664903,1.7535,1.6579,-0.054519532,,,,,,,,,,,,,,,,,,,,,,,,
13,EA,1.7389,1.7334,-0.003162919,1.7895,1.7868,-0.001508801,1.7655,1.7616,-0.002209006,1.7857,1.7825,-0.001792014,,,,,,,,,,,,,,,,,,,,,,,,
13,EU,1.7539,1.7517,-0.001254347,1.7645,1.7319,-0.018475489,1.7277,1.721,-0.003877988,1.7322,1.7318,-0.00023092,,,,,,,,,,,,,,,,,,,,,,,,
13,EM,1.767,1.7318,-0.01992077,1.7137,1.7084,-0.003092723,1.7412,1.7268,-0.008270159,1.7064,1.6728,-0.019690577,,,,,,,,,,,,,,,,,,,,,,,,
13,EP,1.7192,1.6208,-0.057235924,1.7311,1.6376,-0.0540119,1.6911,1.5824,-0.064277689,1.6887,1.6484,-0.023864511,,,,,,,,,,,,,,,,,,,,,,,,
14,EA,1.7516,1.7395,-0.00690797,1.6584,1.658,-0.000241196,1.7543,1.7512,-0.001767087,1.6688,1.6658,-0.001797699,,,,,,,,,,,,,,,,,,,,,,,,
14,EU,1.7531,1.485,-0.152929097,1.7464,1.7016,-0.025652771,1.7429,1.7418,-0.000631132,1.7429,1.7398,-0.001778645,,,,,,,,,,,,,,,,,,,,,,,,
14,EM,1.7674,1.734,-0.018897816,1.7545,1.7522,-0.001310915,1.771,1.7571,-0.007848673,1.7411,1.7064,-0.019929929,,,,,,,,,,,,,,,,,,,,,,,,
14,EP,1.6433,1.5359,-0.065356295,1.6975,1.5938,-0.061089838,1.7205,1.6018,-0.068991572,1.673,1.5674,-0.063120143,,,,,,,,,,,,,,,,,,,,,,,,
15,EA,,,#DIV/0!,1.7174,1.7145,-0.001688599,1.6897,1.686,-0.002189738,1.76,1.7576,-0.001363636,,,,,,,,,,,,,,,,,,,,,,,,
15,EU,1.7238,1.7177,-0.003538694,1.7728,1.7517,-0.011902076,1.7323,1.7297,-0.001500895,1.74,1.7354,-0.002643678,,,,,,,,,,,,,,,,,,,,,,,,
15,EM,1.7446,1.7122,-0.018571592,1.6514,1.6457,-0.003451617,1.7594,1.7399,-0.011083324,1.767,1.741,-0.014714205,,,,,,,,,,,,,,,,,,,,,,,,
15,EP,1.7568,1.6562,-0.057263206,1.7193,1.6121,-0.062350957,1.769,1.5954,-0.098134539,1.7102,1.608,-0.059759093,,,,,,,,,,,,,,,,,,,,,,,,
